GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
37023000048,8,2711,2154,1828,93,140,56,59,0,612.6666666666666,934.3333333333334
37023000051,8,4802,3819,3077,138,323,79,199,3,792.1666666666666,1587.6666666666667
37023000052,8,2167,1745,1314,50,136,59,201,1,287.5,623.8333333333334
37023000053,8,3556,2799,2489,57,53,71,125,2,338.6666666666667,1141.8333333333333
37023000062,8,1198,952,851,17,39,26,13,0,163.83333333333334,442.8333333333333
37023000064,8,1054,856,783,22,11,19,15,2,152.0,429.8333333333333
37023000065,8,2686,2272,1592,103,499,58,23,4,171.83333333333334,601.8333333333334
37023000066,8,3277,2626,2124,129,258,62,43,6,408.3333333333333,986.1666666666666
37023000070,8,3611,2882,2492,141,116,83,65,7,522.1666666666666,1275.8333333333333
370230029-A,8,1680,1339,1176,29,34,35,55,0,134.0,666.5
370230029-B,8,1635,1312,1201,36,19,30,19,0,189.66666666666666,592.1666666666666
370230047-A,8,2582,2137,1587,59,396,59,40,0,713.3333333333334,779.5
370230047-B,8,1870,1415,1162,61,150,42,21,3,355.6666666666667,598.3333333333334
37025001-02,10,4425,3246,2335,314,387,73,146,1,778.3333333333334,1473.5
37025001-04,10,8391,5884,3420,284,1381,74,745,6,2264.5,2027.8333333333333
37025001-07,10,3886,2891,2007,136,358,58,351,7,803.0,1383.8333333333333
37025001-08,10,7650,5328,3023,425,1558,85,265,5,1880.0,1643.5
37025001-10,10,4099,3168,2268,213,453,81,168,4,997.0,1215.0
37025001-11,10,6624,4871,3142,245,844,102,544,2,1676.3333333333333,1944.3333333333333
37025002-01,10,4988,3969,2594,488,675,77,137,6,975.0,1329.8333333333333
37025002-02,10,7084,5292,2955,949,1103,120,237,9,1642.1666666666667,1738.0
37025002-03,10,9616,7322,4812,567,1580,163,236,14,2036.6666666666667,2636.8333333333335
37025002-05,10,6520,4912,3262,451,903,116,186,13,1537.6666666666667,1875.8333333333333
37025002-06,10,6155,4664,2400,611,1425,131,159,7,1446.3333333333333,1144.0
37025002-07,10,4690,3760,2829,209,515,81,149,1,1163.5,1536.8333333333333
37025002-08,10,12647,8563,4657,662,1716,125,1435,19,2782.5,2589.5
37025002-09,10,13411,9237,4343,574,2015,96,2183,10,3232.8333333333335,2274.8333333333335
37025003-00,10,8683,6066,4452,315,709,117,445,5,1624.3333333333333,2673.5
37025004-01,10,4755,3476,2009,386,1003,77,54,4,1045.8333333333333,945.5
37025004-03,10,4321,3353,1971,370,919,97,40,1,976.8333333333334,1065.6666666666667
37025004-08,10,2487,1961,1285,184,389,42,66,4,497.5,702.3333333333334
37025004-09,10,4953,3849,2717,228,710,76,122,6,984.6666666666666,1671.1666666666667
37025004-11,10,5132,3931,2306,539,948,107,70,7,1058.0,1074.1666666666667
37025004-12,10,8625,6324,3115,1080,1963,159,93,6,1770.6666666666667,1405.5
37025004-13,10,8072,6167,4283,639,1007,136,117,5,1549.8333333333333,2434.1666666666665
37025005-00,10,3858,3040,2551,156,202,88,46,0,512.1666666666666,1671.0
37025006-00,10,2937,2312,2092,113,41,50,15,1,245.66666666666666,1405.3333333333333
37025007-00,10,1639,1279,1185,15,9,45,18,0,147.66666666666666,763.6666666666666
37025008-00,10,5318,4227,3888,90,146,83,17,5,668.0,2403.6666666666665
